code,state,h1b,unemployment,gdp,greencard,year
MD,Maryland,10780,5.04,1465969,1300,2015
MA,Massachusetts,23134,4.75,1956730,2400,2015
MI,Michigan,18131,5.39,1889173,2532,2015
MN,Minnesota,9926,3.78,1313611,925,2015
MS,Mississippi,790,6.33,425210,100,2015
MO,Missouri,7140,5.05,1173494,752,2015
MT,Montana,191,4.13,183469,29,2015
NE,Nebraska,1805,3.07,462878,624,2015
NV,Nevada,1261,6.77,565117,156,2015
NH,New Hampshire,2071,3.36,299226,156,2015
NJ,New Jersey,47291,5.77,2249895,6758,2015
NM,New Mexico,992,6.49,372089,183,2015
NY,New York,51160,5.28,5837768,7254,2015
NC,North Carolina,17266,5.67,2006686,1952,2015
ND,North Dakota,569,2.82,225682,99,2015
OH,Ohio,15973,4.9,2447742,1562,2015
OK,Oklahoma,2028,4.37,760726,188,2015
OR,Oregon,4696,5.59,871285,712,2015
PA,Pennsylvania,22009,5.28,2832047,1800,2015
RI,Rhode Island,2863,5.95,224814,256,2015
SC,South Carolina,2774,5.91,810880,455,2015
SD,South Dakota,394,3.08,189426,54,2015
TN,Tennessee,5101,5.51,1267158,520,2015
TX,Texas,61689,4.43,6433614,14822,2015
UT,Utah,2631,3.56,596294,254,2015
VT,Vermont,344,3.56,121422,85,2015
VA,Virgina,18821,4.39,1925665,2255,2015
WA,Washington,21012,5.62,1807771,3512,2015
WV,West Virgina,577,6.73,292292,56,2015
WI,Wisconsin,6859,4.54,1218638,653,2015
WY,Wyoming,147,4.26,157140,10,2015
AL,Alabama,2044,5.98,822503,380,2016
AK,Alaska,177,6.62,201615,26,2016
AZ,Arizona,9630,5.24,1223396,1228,2016
AR,Arkansas,3388,4.05,485531,620,2016
CA,Califonia,116026,5.44,10490922,20643,2016
CO,Colorado,6297,3.26,1290574,701,2016
CT,Connecticut,9943,5.05,1039674,659,2016
DE,Delaware,3503,4.38,285812,341,2016
,District of Columbia,3980,6.02,505911,322,2016
FL,Florida,20409,4.92,3704195,3060,2016
GA,Georgia,24672,5.42,2125207,2912,2016
HI,Hawaii,504,3.03,338684,107,2016
ID,Idaho,875,3.8,273509,151,2016
IL,Illinois,34774,5.9,3184049,2600,2016
IN,Indiana,6381,4.45,1388998,617,2016
IA,Iowa,2918,3.7,740733,402,2016
KS,Kansas,2743,4.2,602302,224,2016
KY,Kentucky,2605,5.02,786725,281,2016
LA,Louisiana,2137,6.14,947995,336,2016
ME,Maine,673,3.86,237179,89,2016
MD,Maryland,10630,4.32,1529746,1311,2016
MA,Massachusetts,24520,3.65,2023102,2472,2016
MI,Michigan,20757,4.95,1960954,2521,2016
MN,Minnesota,9859,3.93,1356382,935,2016
MS,Mississippi,834,5.85,433979,107,2016
MO,Missouri,7921,4.59,1196452,772,2016
MT,Montana,183,4.13,184911,35,2016
NE,Nebraska,2002,3.23,469785,327,2016
NV,Nevada,1293,5.65,585110,166,2016
NH,New Hampshire,1893,2.83,308831,173,2016
NJ,New Jersey,47993,4.98,2301324,6843,2016
NM,New Mexico,1023,6.69,374374,189,2016
NY,New York,54580,4.87,6000219,7146,2016
NC,North Carolina,18657,5.08,2086485,1982,2016
ND,North Dakota,536,3.16,213810,98,2016
OH,Ohio,16231,4.97,2506488,1618,2016
OK,Oklahoma,1988,4.9,725111,192,2016
OR,Oregon,4585,4.89,915543,711,2016
PA,Pennsylvania,23186,5.46,2879335,1834,2016
RI,Rhode Island,2445,5.28,230117,168,2016
SC,South Carolina,2908,4.86,839435,444,2016
SD,South Dakota,336,2.82,193415,53,2016
TN,Tennessee,5590,4.81,1327470,524,2016
TX,Texas,67603,4.68,6397129,13955,2016
UT,Utah,2761,3.4,630681,334,2016
VT,Vermont,356,3.26,124365,80,2016
VA,Virgina,18710,4.05,1971730,2344,2016
WA,Washington,22415,5.44,1907082,3615,2016
WV,West Virgina,617,6.03,291444,56,2016
WI,Wisconsin,7003,4.17,1252354,659,2016
WY,Wyoming,118,5.25,153311,14,2016
AL,Alabama,2053,4.7,641492,562,2017
AK,Alaska,201,6.88,155289,41,2017
AZ,Arizona,9732,4.87,954111,1392,2017
AR,Arkansas,3406,3.57,379612,968,2017
CA,Califonia,119744,4.84,8160810,29547,2017
CO,Colorado,6501,2.61,1015176,1175,2017
CT,Connecticut,10034,4.74,782259,1005,2017
DE,Delaware,3521,4.68,223813,554,2017
,District of Columbia,4134,6.13,393116,409,2017
FL,Florida,20848,4.21,2893808,4816,2017
GA,Georgia,24859,4.78,1654388,4347,2017
HI,Hawaii,557,2.55,262138,145,2017
ID,Idaho,887,3.15,214256,175,2017
IL,Illinois,35177,4.95,2441348,4239,2017
IN,Indiana,6399,3.6,1073764,921,2017
IA,Iowa,2940,3.13,565926,598,2017
KS,Kansas,2768,3.74,455729,386,2017
KY,Kentucky,2624,5.03,609618,401,2017
LA,Louisiana,2191,5.33,726314,490,2017
ME,Maine,687,3.37,183255,103,2017
MD,Maryland,10739,4.05,1180238,1644,2017
MA,Massachusetts,24887,3.82,1572878,4011,2017
MI,Michigan,20966,4.49,1531762,4213,2017
MN,Minnesota,9938,3.66,1057551,1376,2017
MS,Mississippi,839,5.06,335149,138,2017
MO,Missouri,7971,3.81,916407,1359,2017
MT,Montana,191,3.91,142289,66,2017
NE,Nebraska,2014,2.91,356945,437,2017
NV,Nevada,1396,4.87,455621,192,2017
NH,New Hampshire,1906,2.75,237431,255,2017
NJ,New Jersey,48365,4.5,1758632,9213,2017
NM,New Mexico,1039,6.41,292966,276,2017
NY,New York,58660,4.58,4629496,9853,2017
NC,North Carolina,18845,4.49,1618932,3377,2017
ND,North Dakota,544,2.58,164977,104,2017
OH,Ohio,16342,5.05,1944536,2100,2017
OK,Oklahoma,2015,4.38,565949,330,2017
OR,Oregon,4718,3.98,708877,1202,2017
PA,Pennsylvania,23376,4.88,2227675,2831,2017
RI,Rhode Island,2457,4.33,176980,231,2017
SC,South Carolina,2952,4.11,653228,609,2017
SD,South Dakota,347,3.13,145772,67,2017
TN,Tennessee,5652,3.93,1028240,741,2017
TX,Texas,68460,4.43,5035159,16667,2017
UT,Utah,2887,3.25,495510,481,2017
VT,Vermont,366,3.02,95719,101,2017
VA,Virgina,18902,3.78,1526368,3760,2017
WA,Washington,23146,4.62,1500898,6708,2017
WV,West Virgina,617,5.03,230663,89,2017
WI,Wisconsin,7046,3.34,967253,1090,2017
WY,Wyoming,137,4.25,122551,28,2017
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
